id,answer
1,a
2,d
3,b
4,c
5,e
6,c
7,a
8,e
9,d
10,c
11,d
12,e
13,c
14,b
15,d
16,d
17,a
18,d
19,c
20,e
21,c
22,c
23,a
24,b
25,a
26,c
27,c
28,b
29,b
30,a
31,a
32,d
33,d
34,e
35,e
36,d
37,b
38,e
39,c
40,d
41,e
42,c
43,a
44,a
45,d
46,e
47,a
48,c
49,e
50,d
51,c
52,d
53,d
54,b
55,c
56,a
57,a
58,e
59,b
60,e
61,b
62,d
63,c
64,b
65,d
66,b
67,d
68,b
69,c
70,d
71,a
72,c
73,d
74,d
75,a
76,e
77,c
78,d
79,a
80,a
81,e
82,b
83,e
84,a
85,e
86,c
87,e
88,b
89,a
90,a
91,b
92,c
93,a
94,a
95,a
96,b
97,c
98,a
99,c
100,b
101,c
102,c
103,d
104,a
105,d
106,a
107,b
108,c
109,b
110,c
111,c
112,e
113,d
114,b
115,a
116,d
117,c
118,d
119,a
120,c
121,c
122,d
123,c
124,a
125,a
126,a
127,d
128,b
129,d
130,c
131,b
132,c
133,a
134,a
135,d
136,c
137,d
138,d
139,a
140,a
141,e
142,c
143,b
144,d
145,b
146,b
147,c
148,b
149,d
150,b
151,b
152,b
153,b
154,d
155,c
156,d
157,e
158,c
159,c
160,d
161,e
162,b
163,d
164,c
165,a
166,b
167,d
168,b
169,a
170,d
171,c
172,b
173,d
174,a
175,d
176,b
177,d
178,a
179,c
180,a
181,b
182,b
183,e
184,c
185,e
186,a
187,e
188,c
189,b
190,a
191,c
192,a
193,b
194,c
195,b
196,c
197,e
198,d
199,b
200,c
201,b
202,b
203,d
204,d
205,c
206,b
207,b
208,a
209,b
210,d
211,c
212,e
213,a
214,b
215,c
216,c
217,c
218,e
219,b
220,a
221,b
222,e
223,c
224,e
225,e
226,c
227,b
228,c
229,b
230,d
231,e
232,e
233,a
234,a
235,a
236,d
237,a
238,a
239,e
240,b
241,c
242,a
243,b
244,a
245,c
246,e
247,c
248,e
249,a
250,d
251,b
252,a
253,e
254,c
255,c
256,b
257,a
258,a
259,d
260,a
261,d
262,a
263,a
264,d
265,e
266,b
267,a
268,c
269,b
270,d
271,b
272,a
273,a
274,a
275,d
276,e
277,a
278,d
279,e
280,d
281,e
282,d
283,a
284,b
285,c
286,e
287,b
288,b
289,b
290,c
291,c
292,d
293,b
294,e
295,b
296,c
297,c
298,b
299,d
300,a
301,c
302,d
303,e
304,a
305,a
306,b
307,e
308,c
309,b
310,b
311,e
312,a
313,b
314,e
315,e
316,b
317,a
318,a
319,b
320,a
321,b
322,b
323,b
324,e
325,d
326,b
327,c
328,d
329,b
330,b
331,d
332,a
333,e
334,e
335,d
336,d
337,e
338,e
339,c
340,a
341,b
342,d
343,a
344,b
345,a
346,b
347,e
348,d
349,e
350,e
351,e
352,a
353,e
354,e
355,a
356,b
357,b
358,c
359,c
360,a
361,b
362,e
363,d
364,d
365,a
366,c
367,d
368,c
369,e
370,c
371,d
372,d
373,c
374,b
375,b
376,c
377,a
378,c
379,d
380,b
381,d
382,d
383,c
384,e
385,a
386,b
387,a
388,d
389,e
390,d
391,a
392,e
393,e
394,c
395,b
396,b
397,b
398,a
399,b
400,b
401,b
402,a
403,c
404,b
405,a
406,e
407,d
408,a
409,d
410,a
411,b
412,e
413,d
414,a
415,a
416,e
417,e
418,a
419,d
420,e
421,e
422,a
423,e
424,b
425,b
426,d
427,a
428,e
429,c
430,c
431,d
432,d
433,c
434,e
435,d
436,e
437,a
438,d
439,b
440,c
441,b
442,e
443,c
444,b
445,e
446,a
447,a
448,a
449,a
450,a
451,d
452,a
453,e
454,a
455,a
456,a
457,d
458,d
459,e
460,c
461,b
462,d
463,d
464,a
465,a
466,c
467,a
468,d
469,c
470,e
471,a
472,a
473,c
474,b
475,e
476,b
477,d
478,c
479,a
480,b
481,e
482,e
483,c
484,a
485,e
486,b
487,a
488,b
489,b
490,e
491,a
492,c
493,e
494,b
495,c
496,d
497,c
498,e
499,e
500,d
501,d
502,b
503,e
504,b
505,a
506,c
507,b
508,d
509,d
510,b
511,b
512,b
513,c
514,b
515,a
516,d
517,e
518,a
519,d
520,e
521,e
522,d
523,c
524,a
525,d
526,b
527,a
528,c
529,a
530,d
531,c
532,a
533,a
534,b
535,d
536,b
537,e
538,e
539,a
540,c
541,e
542,a
543,b
544,b
545,d
546,a
547,d
548,b
549,b
550,a
551,c
552,c
553,a
554,b
555,c
556,c
557,b
558,a
559,d
560,a
561,b
562,d
563,c
564,c
565,b
566,a
567,e
568,b
569,b
570,d
571,e
572,e
573,d
574,a
575,d
576,b
577,d
578,e
579,c
580,c
581,b
582,c
583,b
584,c
585,d
586,b
587,e
588,c
589,b
590,b
591,a
592,c
593,b
594,a
595,a
596,b
597,c
598,a
599,c
600,e
601,e
602,e
603,c
604,b
605,d
606,c
607,a
608,c
609,e
610,c
611,a
612,b
613,b
614,b
615,c
616,d
617,e
618,e
619,d
620,a
621,d
622,c
623,c
624,c
625,e
626,e
627,c
628,a
629,a
630,b
631,c
632,d
633,d
634,c
635,d
636,a
637,d
638,e
639,e
640,e
641,d
642,e
643,a
644,a
645,c
646,d
647,e
648,b
649,c
650,a
651,e
652,d
653,e
654,d
655,c
656,d
657,c
658,c
659,d
660,d
661,e
662,d
663,a
664,b
665,d
666,b
667,c
668,a
669,c
670,c
671,d
672,b
673,b
674,d
675,c
676,e
677,c
678,e
679,e
680,c
681,d
682,d
683,b
684,c
685,a
686,e
687,e
688,c
689,c
690,c
691,b
692,b
693,a
694,b
695,a
696,a
697,d
698,c
699,b
700,d
701,e
702,b
703,c
704,a
705,e
706,c
707,b
708,c
709,c
710,e
711,d
712,a
713,a
714,e
715,c
716,d
717,c
718,e
719,d
720,b
721,d
722,c
723,d
724,b
725,a
726,b
727,d
728,e
729,d
730,b
731,e
732,c
733,e
734,b
735,c
736,c
737,d
738,a
739,e
740,b
741,d
742,c
743,e
744,a
745,b
746,d
747,e
748,e
749,b
750,d
751,a
752,c
753,c
754,b
755,a
756,c
757,b
758,a
759,c
760,d
761,e
762,e
763,a
764,b
765,b
766,a
767,a
768,a
769,e
770,e
771,a
772,d
773,d
774,a
775,b
776,c
777,c
778,d
779,b
780,e
781,d
782,c
783,a
784,e
785,e
786,c
787,c
788,d
789,d
790,b
791,a
792,d
793,c
794,e
795,d
796,c
797,c
798,e
799,d
800,d
801,a
802,b
803,e
804,e
805,b
806,e
807,a
808,d
809,e
810,d
811,b
812,b
813,e
814,e
815,c
816,b
817,e
818,b
819,c
820,c
821,e
822,a
823,e
824,d
825,c
826,b
827,a
828,b
829,b
830,c
831,c
832,c
833,c
834,d
835,c
836,c
837,d
838,a
839,a
840,a
841,a
842,b
843,a
844,a
845,b
846,b
847,b
848,a
849,b
850,c
851,d
852,c
853,a
854,e
855,a
856,c
857,a
858,e
859,d
860,d
861,b
862,c
863,b
864,d
865,b
866,d
867,c
868,d
869,c
870,b
871,a
872,e
873,b
874,b
875,a
876,e
877,d
878,a
879,d
880,e
881,e
882,e
883,b
884,d
885,d
886,e
887,d
888,c
889,e
890,a
891,b
892,b
893,d
894,d
895,e
896,a
897,a
898,b
899,b
900,e
901,d
902,c
903,c
904,b
905,c
906,b
907,b
908,c
909,c
910,b
911,a
912,a
913,d
914,b
915,e
916,d
917,a
918,b
919,b
920,a
921,e
922,e
923,b
924,d
925,c
926,e
927,e
928,c
929,d
930,b
931,e
932,c
933,b
934,b
935,b
936,d
937,a
938,c
939,b
940,d
941,d
942,e
943,b
944,a
945,c
946,b
947,c
948,d
949,a
950,a
951,b
952,b
953,a
954,e
955,b
956,d
957,b
958,e
959,c
960,c
961,b
962,c
963,d
964,a
965,c
966,a
967,c
968,d
969,d
970,b
971,d
972,e
973,e
974,e
975,c
976,c
977,a
978,b
979,b
980,b
981,b
982,e
983,c
984,c
985,d
986,c
987,a
988,d
989,a
990,a
991,d
992,e
993,e
994,a
995,d
996,b
997,d
998,e
999,a
1000,b
1001,a
1002,d
1003,e
1004,c
1005,c
1006,a
1007,d
1008,a
1009,e
1010,e
1011,e
1012,c
1013,b
1014,d
1015,d
1016,a
1017,d
1018,c
1019,c
1020,a
1021,d
1022,a
1023,b
1024,a
1025,e
1026,c
1027,c
1028,b
1029,d
1030,c
1031,a
1032,b
1033,b
1034,a
1035,c
1036,b
1037,a
1038,c
1039,e
1040,b
