id,answer
1,b
2,a
3,c
4,b
5,b
6,a
7,e
8,a
9,a
10,b
11,e
12,a
13,e
14,a
15,a
16,e
17,b
18,b
19,d
20,c
21,a
22,d
23,b
24,d
25,c
26,a
27,b
28,a
29,d
30,a
31,c
32,b
33,a
34,a
35,c
36,a
37,e
38,b
39,c
40,b
41,d
42,a
43,a
44,c
45,e
46,c
47,b
48,d
49,d
50,e
51,a
52,c
53,e
54,c
55,d
56,a
57,d
58,d
59,b
60,b
61,d
62,c
63,d
64,d
65,b
66,d
67,b
68,d
69,a
70,d
71,c
72,a
73,a
74,a
75,a
76,b
77,a
78,a
79,e
80,c
81,e
82,d
83,a
84,a
85,d
86,d
87,a
88,a
89,c
90,e
91,c
92,b
93,b
94,a
95,b
96,a
97,d
98,b
99,d
100,a
101,d
102,b
103,b
104,c
105,a
106,d
107,e
108,e
109,d
110,a
111,a
112,a
113,b
114,b
115,c
116,a
117,d
118,b
119,d
120,c
121,c
122,b
123,b
124,c
125,c
126,c
127,b
128,a
129,a
130,a
131,a
132,e
133,b
134,c
135,a
136,d
137,e
138,c
139,b
140,a
141,b
142,a
143,c
144,d
145,c
146,c
147,d
148,d
149,e
150,a
151,c
152,b
153,a
154,e
155,a
156,a
157,a
158,e
159,b
160,a
161,e
162,b
163,a
164,e
165,b
166,a
167,a
168,d
169,e
170,b
171,b
172,b
173,d
174,d
175,e
176,b
177,a
178,c
179,e
180,b
181,b
182,b
183,a
184,d
185,b
186,b
187,e
188,b
189,c
190,e
191,a
192,d
193,b
194,a
195,e
196,b
197,b
198,c
199,c
200,b
201,e
202,c
203,b
204,b
205,a
206,c
207,d
208,b
209,a
210,c
211,b
212,d
213,b
214,b
215,b
216,e
217,a
218,a
219,e
220,a
221,c
222,b
223,d
224,d
225,b
226,a
227,a
228,c
229,b
230,e
231,a
232,e
233,b
234,c
235,c
236,e
237,c
238,e
239,d
240,c
241,b
242,b
243,b
244,b
245,b
246,c
247,e
248,b
249,c
250,d
251,c
252,b
253,b
254,b
255,d
256,c
257,e
258,e
259,e
260,b
261,c
262,d
263,c
264,c
265,e
266,b
267,b
268,c
269,a
270,d
271,a
272,a
273,a
274,b
275,b
276,d
277,b
278,b
279,b
280,a
281,a
282,b
283,c
284,b
285,b
286,b
287,c
288,e
289,a
290,a
291,e
292,c
293,a
294,e
295,e
296,d
297,a
298,a
299,b
300,d
301,a
302,d
303,c
304,c
305,a
306,b
307,e
308,a
309,a
310,c
311,d
312,c
313,a
314,c
315,a
316,e
317,a
318,c
319,d
320,c
321,a
322,a
323,a
324,b
325,b
326,b
327,d
328,d
329,a
330,d
331,a
332,b
333,a
334,b
335,d
336,a
337,a
338,c
339,b
340,c
341,c
342,e
343,c
344,e
345,e
346,a
347,a
348,a
349,e
350,a
351,c
352,b
353,b
354,c
355,c
356,e
357,a
358,e
359,c
360,e
361,c
362,a
363,a
364,d
365,a
366,a
367,a
368,e
369,a
370,b
371,b
372,b
373,b
374,a
375,a
376,d
377,c
378,a
379,c
380,a
381,c
382,b
383,d
384,d
385,e
386,c
387,b
388,c
389,a
390,d
391,a
392,a
393,d
394,a
395,a
396,d
397,d
398,e
399,c
400,d
401,c
402,a
403,d
404,d
405,a
406,a
407,a
408,a
409,a
410,c
411,b
412,a
413,d
414,d
415,b
416,a
417,b
418,a
419,b
420,a
421,c
422,b
423,c
424,a
425,e
426,a
427,a
428,b
429,d
430,e
431,a
432,a
433,b
434,b
435,b
436,b
437,a
438,b
439,a
440,b
441,c
442,e
443,d
444,a
445,b
446,c
447,c
448,d
449,a
450,c
451,b
452,c
453,a
454,d
455,b
456,a
457,c
458,a
459,d
460,d
461,d
462,c
463,e
464,c
465,b
466,a
467,a
468,b
469,a
470,c
471,e
472,e
473,b
474,c
475,a
476,e
477,b
478,b
479,e
480,a
481,a
482,a
483,b
484,d
485,b
486,d
487,a
488,a
489,e
490,a
491,c
492,b
493,d
494,e
495,a
496,e
497,a
498,e
499,c
500,e
501,a
502,d
503,c
504,b
505,b
506,d
507,c
508,a
509,b
510,c
511,c
512,c
513,e
514,d
515,c
516,c
517,c
518,a
519,b
520,c
521,b
522,c
523,c
524,e
525,d
526,c
527,d
528,a
529,c
530,e
531,c
532,a
533,b
534,a
535,c
536,d
537,c
538,a
539,e
540,a
541,d
542,e
543,c
544,c
545,d
546,c
547,c
548,d
549,a
550,d
551,e
552,b
553,b
554,a
555,a
556,e
557,a
558,d
559,a
560,e
561,a
562,c
563,b
564,e
565,a
566,e
567,b
568,e
569,c
570,d
571,e
572,d
573,e
574,c
575,c
576,b
577,a
578,b
579,c
580,b
581,d
582,a
583,b
584,a
585,d
586,d
587,a
588,c
589,d
590,a
591,a
592,e
593,b
594,a
595,c
596,a
597,a
598,a
599,d
600,a
601,b
602,e
603,a
604,a
605,c
606,e
607,b
608,d
609,b
610,b
611,e
612,a
613,e
614,c
615,a
616,d
617,a
618,a
619,a
620,b
621,a
622,d
623,c
624,c
625,a
626,b
627,c
628,a
629,d
630,b
631,a
632,a
633,d
634,a
635,c
636,e
637,b
638,c
639,a
640,d
641,c
642,a
643,b
644,a
645,b
646,b
647,a
648,a
649,a
650,c
651,d
652,e
653,c
654,c
655,d
656,a
657,c
658,b
659,a
660,a
661,c
662,a
663,e
664,e
665,e
666,a
667,d
668,b
669,a
670,d
671,b
672,b
673,b
674,a
675,b
676,b
677,e
678,a
679,a
680,b
681,a
682,b
683,a
684,a
685,e
686,e
687,b
688,e
689,a
690,d
691,b
692,d
693,b
694,a
695,a
696,b
697,a
698,a
699,d
700,b
701,b
702,a
703,e
704,d
705,e
706,e
707,a
708,a
709,a
710,a
711,c
712,e
713,e
714,c
715,d
716,b
717,a
718,a
719,e
720,d
721,a
722,c
723,b
724,b
725,b
726,a
727,a
728,a
729,e
730,e
731,a
732,e
733,a
734,b
735,c
736,b
737,d
738,d
739,a
740,c
741,e
742,b
743,a
744,c
745,a
746,d
747,e
748,a
749,a
750,b
751,c
752,a
753,a
754,d
755,c
756,b
757,a
758,d
759,d
760,a
761,c
762,d
763,a
764,d
765,d
766,b
767,d
768,a
769,a
770,a
771,a
772,c
773,a
774,e
775,a
776,b
777,a
778,b
779,c
780,a
781,b
782,d
783,c
784,a
785,a
786,c
787,d
788,a
789,b
790,c
791,e
792,c
793,e
794,d
795,a
796,e
797,b
798,b
799,d
800,b
801,a
802,e
803,b
804,c
805,c
806,a
807,b
808,a
809,d
810,b
811,c
812,a
813,a
814,b
815,b
816,a
817,d
818,c
819,a
820,a
821,c
822,a
823,d
824,e
825,b
826,a
827,c
828,b
829,a
830,c
831,b
832,a
833,a
834,e
835,b
836,b
837,c
838,a
839,b
840,c
841,d
842,c
843,e
844,e
845,e
846,a
847,b
848,a
849,a
850,a
851,a
852,a
853,b
854,d
855,e
856,b
857,a
858,c
859,b
860,d
861,c
862,e
863,a
864,e
865,a
866,e
867,a
868,a
869,d
870,c
871,b
872,d
873,e
874,d
875,b
876,d
877,b
878,e
879,a
880,a
881,b
882,a
883,b
884,a
885,e
886,e
887,c
888,b
889,c
890,d
891,a
892,c
893,d
894,b
895,a
896,c
897,d
898,c
899,a
900,a
901,d
902,a
903,e
904,a
905,a
906,a
907,c
908,b
909,c
910,a
911,d
912,a
913,b
914,e
915,a
916,b
917,e
918,b
919,b
920,c
921,a
922,b
923,e
924,a
925,a
926,d
927,c
928,d
929,c
930,e
931,b
932,b
933,c
934,c
935,b
936,a
937,a
938,e
939,a
940,c
941,d
942,b
943,a
944,e
945,b
946,b
947,c
948,e
949,d
950,a
951,a
952,d
953,b
954,c
955,d
956,a
957,d
958,a
959,b
960,a
961,b
962,a
963,a
964,b
965,a
966,a
967,b
968,b
969,b
970,c
971,b
972,d
973,a
974,b
975,a
976,c
977,d
978,d
979,c
980,d
981,b
982,c
983,a
984,d
985,a
986,b
987,c
988,c
989,c
990,b
991,e
992,a
993,c
994,c
995,a
996,d
997,b
998,d
999,b
1000,a
1001,b
1002,e
1003,d
1004,a
1005,a
1006,a
1007,b
1008,c
1009,b
