id,answer
1,b
2,b
3,c
4,b
5,c
6,a
7,d
8,c
9,a
10,b
11,b
12,a
13,b
14,a
15,a
16,c
17,e
18,b
19,d
20,c
21,e
22,a
23,b
24,e
25,c
26,c
27,b
28,a
29,c
30,a
31,b
32,b
33,b
34,b
35,d
36,a
37,d
38,d
39,c
40,a
41,d
42,c
43,a
44,c
45,a
46,c
47,c
48,d
49,a
50,e
51,c
52,a
53,e
54,e
55,d
56,d
57,b
58,d
59,b
60,b
61,e
62,e
63,d
64,d
65,b
66,e
67,b
68,d
69,a
70,d
71,a
72,a
73,d
74,b
75,a
76,b
77,a
78,a
79,e
80,c
81,e
82,d
83,b
84,a
85,d
86,e
87,c
88,c
89,c
90,e
91,a
92,b
93,b
94,a
95,e
96,a
97,d
98,b
99,d
100,a
101,d
102,b
103,e
104,c
105,a
106,b
107,e
108,e
109,d
110,d
111,a
112,e
113,c
114,b
115,d
116,b
117,d
118,d
119,d
120,b
121,c
122,b
123,a
124,c
125,b
126,b
127,b
128,e
129,a
130,d
131,a
132,e
133,a
134,c
135,a
136,d
137,a
138,c
139,b
140,e
141,a
142,d
143,b
144,d
145,e
146,d
147,b
148,d
149,b
150,a
151,c
152,c
153,a
154,e
155,a
156,a
157,a
158,b
159,b
160,a
161,b
162,b
163,d
164,e
165,d
166,a
167,e
168,e
169,e
170,b
171,c
172,a
173,d
174,d
175,c
176,b
177,e
178,d
179,a
180,b
181,b
182,b
183,c
184,e
185,b
186,b
187,b
188,b
189,a
190,c
191,a
192,a
193,b
194,c
195,d
196,b
197,c
198,c
199,c
200,b
201,c
202,c
203,b
204,b
205,c
206,c
207,d
208,b
209,a
210,c
211,c
212,b
213,b
214,a
215,b
216,a
217,a
218,e
219,b
220,a
221,c
222,b
223,a
224,e
225,d
226,a
227,a
228,c
229,b
230,e
231,d
232,d
233,e
234,a
235,c
236,c
237,b
238,a
239,d
240,c
241,c
242,b
243,a
244,b
245,e
246,b
247,e
248,b
249,e
250,d
251,b
252,b
253,c
254,b
255,d
256,c
257,e
258,e
259,e
260,b
261,c
262,a
263,c
264,c
265,b
266,a
267,b
268,c
269,a
270,e
271,d
272,a
273,e
274,a
275,c
276,c
277,b
278,d
279,b
280,b
281,d
282,b
283,c
284,e
285,b
286,b
287,c
288,e
289,d
290,a
291,d
292,c
293,d
294,e
295,e
296,a
297,e
298,b
299,b
300,d
301,a
302,d
303,d
304,c
305,a
306,d
307,e
308,d
309,c
310,c
311,d
312,c
313,d
314,c
315,c
316,e
317,c
318,c
319,a
320,b
321,a
322,a
323,a
324,b
325,d
326,b
327,d
328,b
329,a
330,d
331,a
332,c
333,a
334,a
335,d
336,a
337,a
338,a
339,b
340,c
341,c
342,e
343,d
344,e
345,a
346,e
347,e
348,a
349,e
350,a
351,d
352,b
353,d
354,c
355,e
356,c
357,d
358,c
359,c
360,e
361,a
362,a
363,a
364,d
365,a
366,c
367,a
368,e
369,e
370,c
371,d
372,b
373,b
374,d
375,b
376,d
377,c
378,a
379,c
380,a
381,c
382,a
383,d
384,e
385,b
386,a
387,a
388,c
389,e
390,e
391,a
392,a
393,d
394,a
395,a
396,d
397,b
398,a
399,d
400,e
401,b
402,a
403,d
404,d
405,a
406,a
407,a
408,a
409,e
410,a
411,b
412,b
413,a
414,d
415,a
416,c
417,a
418,a
419,d
420,d
421,c
422,c
423,c
424,b
425,c
426,e
427,b
428,e
429,d
430,d
431,a
432,e
433,b
434,d
435,b
436,b
437,a
438,b
439,a
440,b
441,c
442,a
443,d
444,d
445,b
446,c
447,e
448,e
449,a
450,c
451,b
452,c
453,b
454,d
455,c
456,c
457,e
458,a
459,b
460,d
461,a
462,c
463,e
464,b
465,b
466,e
467,a
468,b
469,a
470,c
471,b
472,e
473,b
474,c
475,a
476,e
477,b
478,a
479,c
480,a
481,b
482,c
483,b
484,d
485,b
486,d
487,d
488,b
489,c
490,c
491,c
492,d
493,d
494,e
495,c
496,e
497,c
498,e
499,c
500,c
501,a
502,a
503,c
504,b
505,a
506,d
507,c
508,a
509,b
510,c
511,c
512,a
513,e
514,d
515,e
516,c
517,c
518,a
519,d
520,c
521,b
522,d
523,e
524,e
525,e
526,a
527,d
528,c
529,c
530,c
531,d
532,a
533,b
534,a
535,b
536,b
537,c
538,a
539,b
540,a
541,d
542,e
543,e
544,c
545,d
546,b
547,c
548,d
549,a
550,d
551,e
552,a
553,a
554,a
555,e
556,e
557,a
558,d
559,a
560,a
561,a
562,c
563,b
564,a
565,a
566,e
567,d
568,a
569,c
570,e
571,e
572,d
573,e
574,c
575,c
576,a
577,d
578,b
579,e
580,e
581,d
582,a
583,b
584,c
585,d
586,b
587,a
588,c
589,d
590,a
591,a
592,a
593,c
594,d
595,b
596,b
597,c
598,b
599,e
600,a
601,b
602,e
603,c
604,a
605,a
606,a
607,b
608,d
609,e
610,b
611,e
612,a
613,e
614,c
615,c
616,d
617,a
618,e
619,c
620,c
621,d
622,c
623,c
624,e
625,e
626,a
627,c
628,a
629,d
630,b
631,c
632,c
633,d
634,a
635,d
636,e
637,e
638,c
639,a
640,d
641,c
642,a
643,b
644,a
645,d
646,b
647,a
648,a
649,a
650,c
651,d
652,e
653,a
654,c
655,d
656,a
657,c
658,b
659,a
660,a
661,c
662,b
663,e
664,e
665,e
666,a
667,d
668,b
669,c
670,d
671,c
672,d
673,b
