scratch their backs on the 
we came down here to 
must think we came down 
came down here to allow 
them to scratch their backs 
they must think we came 
here to allow them to 
bottom watching the wonderful sight 
the bottom watching the wonderful 
<start> for some time they 
that swam all about them 
wonderful sight of the fishes 
they remained on the bottom 
sight of the fishes that 
remained on the bottom watching 
<start> well i think we 
i think we may as 
as well rise announced mr 
we may as well rise 
<start> <start> swift after they 
bottom about an hour moving 
the bottom about an hour 
they had been on the 
moving here and there <end> 
after they had been on 
the others of you feel 
i dont know how the 
dont know how the others 
and im getting hungry though 
how the others of you 
getting hungry though i dont 
we didnt bring any provisions 
im getting hungry though i 
my dinnerplate i could eat 
<start> <start> bless my dinnerplate 
i could eat too <end> 
once we start for the 
travel once we start for 
of underwater travel once we 
get enough of underwater travel 
well get enough of underwater 
<start> send her up tom 
tom called his father <end> 
her up tom called his 
needed changes and improvements <end> 
<start> <start> i want to 
few notes on some needed 
some needed changes and improvements 
a few notes on some 
house and turned the valve 
<start> <start> tom entered the 
valve that opened the tanks 
tom entered the lower pilot 
and turned the valve that 
that opened the tanks <end> 
quickly emptied as that would 
lever that started the pumps 
he also pulled the lever 
would render the submarine buoyant 
<start> he also pulled the 
buoyant and she would quickly 
would quickly shoot to the 
started the pumps so that 
<start> <start> he also pulled 
ballast would be more quickly 
also pulled the lever that 
as that would render the 
no outrushing of the water 
<start> <start> to the surprise 
to the surprise of the 
of the lad however there 
however there followed no outrushing 
surprise of the lad however 
the advance remained stationary on 
stationary on the ocean bed 
<start> <start> the advance remained 
advance remained stationary on the 
up from his notes <end> 
<start> swift looked up from 
swift looked up from his 
didnt you hear me ask 
you hear me ask you 
me ask you to send 
ask you to send her 
you to send her up 
<start> i did dad but 
be the matter was the 
dad but something seems to 
seems to be the matter 
the matter was the reply 
the wheels valves and levers 
at the wheels valves and 
where his son and captain 
to where his son and 
<start> and the aged inventor 
were at the wheels valves 
weston were at the wheels 
<start> <start> i want to 
<start> i want to get 
i want to get it 
up before i try any 
want to get it warmed 
there was a low humming 
a whine and the car 
<start> there was a low 
gradually increased to a whine 
and the car moved slowly 
to a whine and the 
a low humming purr which 
to the road tom listening 
road tom listening to every 
to every sound of the 
the gravel driveway to the 
machinery as a mother listens 
tom listening to every sound 
to the breathing of a 
a mother listens to the 
the breathing of a child 
along the gravel driveway to 
much faster than a wheelbarrow 
said his father who sometimes 
than a wheelbarrow said his 
faster than a wheelbarrow said 
father who sometimes teased his 
wheelbarrow said his father who 
more current into the motor 
tom turned more current into 
turned more current into the 
increased and the car seemed 
<start> <start> the purring and 
and humming increased and the 
the purring and humming increased 
humming increased and the car 
the road now and once 
that the steering apparatus was 
well tom suddenly turned on 
assured that the steering apparatus 
suddenly turned on much more 
working well tom suddenly turned 
was working well tom suddenly 
the steering apparatus was working 
turned on much more speed 
electric auto shoot forward that 
<start> so quickly did the 
<start> <start> so quickly did 
shoot forward that mr <end> 
<start> <start> sharp were jerked 
the cushions of the rear 
jerked back against the cushions 
were jerked back against the 
<start> sharp were jerked back 
<start> <start> im going to 
im going to show you 
going to show you a 
little speed answered tom <end> 
progress that was absent from 
absent from a gasolene auto 
and lightness to its progress 
that was absent from a 
smoothness and lightness to its 
car was now moving rapidly 
was absent from a gasolene 
a smoothness and lightness to 
moving rapidly and there was 
<start> there was no vibration 
vibration from the motor <end> 
was no vibration from the 
moving at a speed scarcely 
speed scarcely less than that 
was moving at a speed 
it ran until it was 
faster and faster it ran 
a speed scarcely less than 
at a speed scarcely less 
<start> <start> damons car when 
was doing its best <end> 
