on the steel plates <end> 
backs on the steel plates 
allow them to scratch their 
to scratch their backs on 
some time they remained on 
fishes that swam all about 
swam all about them <end> 
wonderful sight of the fishes 
<start> well i think we 
i think we may as 
moving here and there <end> 
<start> swift after they had 
hour moving here and there 
though i dont know how 
others of you feel about 
didnt bring any provisions and 
we didnt bring any provisions 
im getting hungry though i 
i could eat too <end> 
my dinnerplate i could eat 
underwater travel once we start 
we start for the treasure 
once we start for the 
<start> send her up tom 
up tom called his father 
notes on some needed changes 
a few notes on some 
i want to make a 
valve that opened the tanks 
turned the valve that opened 
tom entered the lower pilot 
would quickly shoot to the 
she would quickly shoot to 
so that the water ballast 
quickly emptied as that would 
that started the pumps so 
submarine buoyant and she would 
would be more quickly emptied 
outrushing of the water <end> 
there followed no outrushing of 
however there followed no outrushing 
stationary on the ocean bed 
the ocean bed <end> <end> 
swift looked up from his 
<start> swift looked up from 
to send her up tom 
her up tom <end> <end> 
<start> didnt you hear me 
matter was the reply <end> 
<start> i did dad but 
to be the matter was 
wheels valves and levers <end> 
weston were at the wheels 
to where his son and 
inventor hastened to where his 
get it warmed up before 
to get it warmed up 
it warmed up before i 
purr which gradually increased to 
humming purr which gradually increased 
low humming purr which gradually 
and the car moved slowly 
breathing of a child <end> 
mother listens to the breathing 
to the road tom listening 
a mother listens to the 
as a mother listens to 
listening to every sound of 
who sometimes teased his son 
much faster than a wheelbarrow 
sometimes teased his son <end> 
current into the motor <end> 
<start> tom turned more current 
purring and humming increased and 
increased and the car seemed 
to leap forward <end> <end> 
tom suddenly turned on much 
working well tom suddenly turned 
steering apparatus was working well 
was in the road now 
the steering apparatus was working 
electric auto shoot forward that 
so quickly did the electric 
of the rear seats <end> 
the rear seats <end> <end> 
against the cushions of the 
show you a little speed 
speed answered tom <end> <end> 
progress that was absent from 
rapidly and there was a 
smoothness and lightness to its 
absent from a gasolene auto 
<start> the car was now 
no vibration from the motor 
there was no vibration from 
and faster it ran until 
<start> faster and faster it 
a speed scarcely less than 
speed scarcely less than that 
was doing its best <end> 
damons car when it was 
one but it could make 
of course that was not 
that was not saying much 
course that was not saying 
could make fast time occasionally 
odd gentleman was not a 
scraps and the scarecrow both 
hasty toilets at the same 
and again they faced each 
their hasty toilets at the 
shaggy man to present my 
allow me miss patchwork said 
me miss patchwork said the 
royal scarecrow of oz <end> 
scraps patches scraps this is 
this is the scarecrow <end> 
scarecrow this is miss scraps 
